order_id,payment_sequential,payment_type,payment_installments,payment_value
u6rPMRAYIGig,1,credit_card,2,155.77
ohY8f4FEbX19,1,credit_card,1,4.07
I28liQek73i2,1,wallet,1,381.59
bBG1T89mlY8W,1,credit_card,3,14.76
CYxJJSQS8Lbo,1,wallet,1,284.09
kUkQCFPtDvrC,1,credit_card,2,342.02
eV98svHRmPNG,1,credit_card,5,48.71
b2tsoISX5lnP,1,credit_card,1,204.4
O0D3th8M88nF,1,credit_card,3,997.37
yBTGlSf8GGMV,1,credit_card,3,204.62
OoHJ0WBqlxln,1,credit_card,2,57.57
qvrK7ROfp1w6,1,voucher,1,307.86
uNUwbkr3jhfD,1,wallet,1,21.55
j4hiZpWSGa1T,1,credit_card,3,4.18
6J3ZtW3UMsR9,1,wallet,1,257.42
CKtqZeTFa6Ov,1,credit_card,1,50.78
e7xeH7PfGWFM,1,credit_card,1,158.58
y7ICBanZzdHp,1,credit_card,4,162.62
bZFqy2PEMhhc,1,credit_card,1,159.82
ub5scd3uMflH,1,credit_card,1,277.25
yAmRuBPWp1vO,1,credit_card,6,372.19
srKcniC9yOFm,1,credit_card,4,134.66
2Jbr1MhEmkIs,1,credit_card,3,399.22
Tb14VgvCwPuw,1,credit_card,3,42.73
KKm2sesYGRq8,1,credit_card,1,109.59
dwJNR7yxYRLb,1,credit_card,6,97.98
86uPyTFO0VnJ,1,credit_card,4,271.86
KOTqFLF3sprZ,1,credit_card,5,110.12
RQi6usDkH0z5,7,voucher,1,120.47
lRPOThT61ZfO,1,credit_card,1,244.38
25pQorIsT9XG,1,credit_card,2,62.6
CA0KeXrOx4Va,1,credit_card,1,12.1
KnUNh8bnaKd9,1,credit_card,1,17.72
xYh4tcmBf0pq,2,voucher,1,8.13
D5YWaLz32bm9,1,credit_card,3,51.94
XhmzJrChXt1C,2,credit_card,6,215.05
xyukk6AHT526,1,credit_card,4,108.86
8LH9cFjaFFLw,1,credit_card,10,144.31
WCVW0rJ4udYk,1,wallet,1,118.61
pvYF1MU8i064,1,credit_card,1,131.43
bhMwu9M1F3pM,1,debit_card,1,169.39
iUEMkbaTWXER,1,credit_card,1,131.43
sZG0zVMaFAXJ,1,wallet,1,195.62
u49f51uCjN3j,1,credit_card,3,721.74
Whn3HZ9xudbF,1,credit_card,1,175.54
UuMDtqNcmyUC,1,credit_card,1,484.8
v5gjarBxJsbo,1,credit_card,1,803.04
3TVHEQZQTpNK,1,credit_card,1,233.05
hJq9LTbltF0f,1,credit_card,1,419.94
cqbIl6jpDT2u,1,wallet,1,111.21
LB5ptHNQKAFz,1,credit_card,2,41.17
903k3PvOOCNz,1,voucher,1,161.26
cv7Hxy6CHEtO,1,credit_card,1,364.41
CscZnJreINZO,1,credit_card,4,120.12
mG9DF0eoAvGx,1,credit_card,7,107.84
hCbJt8U6Ww3N,1,credit_card,6,409.79
0llz1DKEU0D0,1,credit_card,2,281.26
liA5pvBYs64o,1,credit_card,1,56.87
KNa3m4B9oN3I,1,wallet,1,211.82
KZs2qgGZoOSX,1,credit_card,2,718.09
RtGO0hlWZEvO,1,credit_card,1,357.28
v4xqa1KwmNvE,1,credit_card,2,189.92
LgBjaoAZT313,1,wallet,1,449.29
g2feI21w6ZER,1,credit_card,2,94.06
UXFVXUDBBnN2,1,credit_card,3,9.81
NiYQcWqn2dx1,1,credit_card,8,24.89
uJxv0BlTzZKk,1,voucher,1,289.55
Gnt5P2sMZoDE,1,debit_card,1,191.95
EP3hioG5H9fK,1,credit_card,6,117.62
Qu1j9oOfSK6t,1,credit_card,1,1185.58
eNNSfcB8zJAv,1,credit_card,1,21.13
KBjiJXcRN9WP,1,credit_card,2,56.87
7QE67FF0Om5N,1,wallet,1,136.94
bVYJzm2XCyxo,1,credit_card,2,41.93
blIKUJKqhcAw,1,credit_card,5,259.92
glRonpQa8jMJ,1,credit_card,1,344.53
MHEaSt8SPeoG,1,wallet,1,414.06
cB2f9bMTD38b,1,credit_card,1,170.6
GayOlUb6Vmw5,1,credit_card,6,227.74
DFJtb4hzzmHX,1,wallet,1,170.89
6whGhQyugS0N,1,wallet,1,150.74
9NeeIZEF4rYg,1,credit_card,10,78.18
zyqeRBdn2QIz,1,credit_card,8,620.56
ZPtEC8wwF6WC,1,wallet,1,69.88
n5anh2ES0Qrx,1,voucher,1,68.39
ZAZc30nO7mBG,1,credit_card,1,470.38
2h0BGlUwGRS1,13,voucher,1,85.24
0bLeA89iFL8i,1,credit_card,1,39.52
1jjbu6TXyRch,1,credit_card,1,24.72
amNpLmLRtqds,1,wallet,1,504.11
J3NBaP7MoqMg,1,credit_card,3,617.59
UGOUFp6lOvfy,1,wallet,1,903.81
W1NJYnYkaukv,1,credit_card,1,94.39
mekmxzX7xg66,1,wallet,1,84.68
zgIMZEReS5B1,2,voucher,1,188.85
sqqcJi5UVxtn,1,credit_card,2,463.15
726qzHfAqEZO,1,credit_card,1,61.96
SPsLXC6EZB6w,1,wallet,1,50.39
QLqDouIaUQyr,1,wallet,1,237.31
pKPwllWcu4W3,1,credit_card,1,625.59
8WTKsujGSPr0,1,credit_card,3,89.42
NTvOc3tRPuW5,1,credit_card,1,189.42
Io6QaiAgVYoZ,2,voucher,1,48.75
Xknxc0MlpwU6,1,credit_card,2,371.18
TmyZSJp1HpV7,1,credit_card,1,79.63
GNz6cxwDUyoM,1,wallet,1,160.22
t0EtYo45Wcw7,1,credit_card,1,81.32
uCkWTkJzyQRA,1,credit_card,3,317.95
kHpIb3Vhkr2B,1,credit_card,1,118.17
JHwaDSRd7Yqk,1,credit_card,5,1418.86
PqlLQqphGWMG,1,credit_card,3,217.53
J8Bc43diiiwa,1,credit_card,1,746.65
T4K1lnPN7lH9,1,credit_card,3,24.2
qFGvBA8siR9C,1,credit_card,1,223.3
DTG8rFMgpHXy,1,credit_card,4,113.71
EzLqwURTMESq,1,wallet,1,0.74
VfPfevghWKRz,1,credit_card,1,35.79
RrMH1HzjPDUy,1,credit_card,2,42.5
dgXkaqn9QIyl,1,credit_card,10,317.4
GkihidwfzkNV,1,credit_card,1,238.12
vl4sZM3Me2dI,1,wallet,1,333.48
uKdtgTIV8ML0,1,wallet,1,167.2
Tao6yqzZqR8i,1,credit_card,4,12.65
CRAW5FHTgef2,1,credit_card,5,101.55
hToNiABH0dXp,1,credit_card,10,97.02
mUZI3vHznWIA,1,credit_card,7,142.8
xgFgAUrPUHEk,1,wallet,1,134.32
JgAkkK19yYhw,1,wallet,1,475.0
3CD8klhI6sv6,1,wallet,1,118.55
yA6ye44VAqXT,1,credit_card,3,1423.54
pshOBIa9uNaK,1,wallet,1,860.4
SpFKAoPp0ilG,1,debit_card,1,33.39
hwV9K6iZVgnh,1,credit_card,4,84.0
DBPnEuQDFDVb,1,credit_card,10,62.94
CM47ksrL2R8A,1,credit_card,1,284.06
6otDC7qi8cZh,1,credit_card,8,305.78
wq3LDwK546wG,1,credit_card,1,8.0
w4jk8j2fTnhw,1,voucher,1,320.61
tZoVpxv5FVIH,1,credit_card,1,545.17
tFQGjmZndsM5,1,credit_card,1,1221.39
nblJwrll1AS0,1,wallet,1,129.32
3vx9j3SvRUKg,1,wallet,1,381.32
OPuvw5JcjfOh,1,credit_card,6,116.81
kVpTE6tUo9w7,1,wallet,1,1416.7
NecsYKNR6nba,1,credit_card,4,176.94
fnSFBmKlfG9i,1,credit_card,10,39.9
u2oKzCyv9sav,1,credit_card,1,222.7
OtV6waAZRqcN,1,credit_card,2,342.02
vhdr4kEZVJXi,1,credit_card,3,512.9
kyeIOoUKvoIM,1,wallet,1,187.84
VZvjDMifWUUk,1,credit_card,3,187.08
GewZicdnVU4o,1,credit_card,5,503.0
paJO30kb5azy,1,wallet,1,96.25
Co6YY9CSER9B,1,wallet,1,665.87
1ADWBenqZlyI,1,credit_card,1,12.26
YKY495iYCoqG,1,credit_card,10,220.63
MV5sovfkXA3U,1,credit_card,2,126.54
jQBSgqRWOpvl,1,wallet,1,294.3
CtWqYNGFXvab,1,credit_card,2,22.86
obrJjCEHkABU,1,credit_card,4,1936.99
BmKm8T53Heik,1,debit_card,1,384.78
WMaeamcmMFS7,1,credit_card,2,95.61
80zasKxvt11B,1,credit_card,2,52.11
HW9Ogje6AlUA,1,credit_card,10,265.5
